                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.35151,                 0.2371,                0.82689,                0.84834,                0.75762,                 0.7585,                0.60019,                0.95141,                0.56863,                 1.1497,             0.00052827,             0.00052827,             0.00052827
                    140,                0.34111,                0.23304,                 0.8233,                0.80669,                0.74737,                0.75018,                0.59848,                 1.0033,                0.63793,                 1.1744,             0.00052002,             0.00052002,             0.00052002
                    141,                0.35237,                 0.2334,                0.82815,                0.86102,                0.71789,                0.73844,                0.57442,                 1.0196,                 0.6698,                 1.1865,             0.00051177,             0.00051177,             0.00051177
                    142,                  0.359,                0.24393,                 0.8211,                0.87523,                0.72341,                0.73952,                0.56664,                0.99599,                0.64367,                 1.1804,             0.00050352,             0.00050352,             0.00050352
                    143,                0.33159,                0.23129,                0.81605,                0.86241,                0.72223,                0.74998,                0.57368,                 0.9811,                0.61575,                 1.1624,             0.00049527,             0.00049527,             0.00049527
                    144,                0.36877,                0.24524,                0.82806,                0.85607,                0.72596,                0.74658,                0.57875,                0.96204,                0.65028,                  1.147,             0.00048701,             0.00048701,             0.00048701
                    145,                0.34037,                0.23302,                0.82443,                0.78593,                0.76196,                0.74868,                0.58778,                0.95072,                0.65972,                 1.1359,             0.00047876,             0.00047876,             0.00047876
                    146,                0.34573,                0.23012,                0.82333,                0.80598,                0.73429,                0.73654,                0.55357,                0.98368,                0.67443,                 1.1602,             0.00047051,             0.00047051,             0.00047051
                    147,                 0.3303,                0.23109,                0.82294,                0.84629,                0.72475,                0.73314,                0.56041,                0.97503,                0.70371,                 1.1528,             0.00046226,             0.00046226,             0.00046226
                    148,                0.34854,                0.22984,                0.82575,                0.86864,                0.72596,                0.73815,                0.55893,                 0.9636,                0.66612,                 1.1516,             0.00045401,             0.00045401,             0.00045401
                    149,                0.33149,                0.22159,                0.81854,                0.82765,                0.76161,                0.74702,                0.57612,                0.95984,                0.67423,                 1.1354,             0.00044576,             0.00044576,             0.00044576
                    150,                  0.332,                0.23743,                 0.8186,                0.84215,                 0.7618,                0.74673,                 0.5738,                0.96569,                0.66899,                 1.1367,              0.0004375,              0.0004375,              0.0004375
                    151,                0.32698,                0.22361,                0.82313,                0.86657,                0.73884,                0.74683,                0.59235,                0.94573,                0.61875,                 1.1299,             0.00042925,             0.00042925,             0.00042925
